,name_exp,feat_imp,shap_rank,mean_unpriv,mean_priv,priv_greater_unpriv,dataset,acc_test,1_disp_impact_bin,mean_difference,1_disp_impact_clf,avg_odds,equal_opport,false_discovery_rate,entropy_index,consistency
0,rf_transf,0.004255847692591417,21,0.0012645228064185495,-0.002101925333025279,0,adult,0.8183333333333334,0.20754485621045815,-0.024312903258091767,0.20754485621045815,-0.012551299041981899,-0.010524598971525079,0.0006485208003509935,0.10620134025065271,0.9260444444444442
1,rf_orig,0.0048924057492278385,20,0.0008963695716490893,-0.0016293864867720697,0,adult,0.8183333333333334,0.18680358851529888,-0.022414306043064006,0.18680358851529888,-0.012841431337463148,-0.015148898610791328,0.024591398325729763,0.10575370168778236,0.9276888888888889
2,lr_transf,0.01972481124684367,19,0.01631903326459863,-0.025034416216036002,0,adult,0.8237777777777778,0.1118562269392106,-0.007442239722426865,0.1118562269392106,0.0064096038012363705,0.016079514928237004,0.005460588793922139,0.10601813833994504,0.9754222222222223
3,lr_orig,0.059824540172304236,8,-0.04964080730000839,0.07570097103349199,1,adult,0.8233333333333334,0.3861515260266827,-0.030633004197169307,0.3861515260266827,-0.033855698966191894,-0.05345767134853019,-0.032056703314405355,0.1063914252355697,0.975088888888889
