,name_exp,feat_imp,shap_rank,mean_unpriv,mean_priv,priv_greater_unpriv,dataset,acc_test,disp_impact_bin,mean_difference,disp_impact_clf,avg_odds,equal_opport,false_discovery_rate,entropy_index,consistency
0,rf_orig,0.007336702335426962,12,-0.010184724216422374,0.005927533504063564,1,adult,0.8601699252738254,0.24402269397594734,-0.1737095078664044,0.24402269397594734,-0.1060469667959855,-0.15828544464854483,-0.016817194340600583,0.07831805474158625,0.9472208004913506
1,rf_transf,0.004046552531837795,18,0.00605398239811557,-0.003023879661887306,0,adult,0.8550516941345071,0.5307437463244306,-0.09175642079973297,0.5307437463244306,0.058765518381472405,0.12407522877028598,0.17340739617004888,0.08191766359443269,0.9457467499232269
2,gbm_orig,0.09355644931207109,7,-0.14158015217830616,0.06985228811171397,1,adult,0.8692803767018119,0.27800287877414087,-0.18102358642568553,0.27800287877414087,-0.08373266770134109,-0.10909632226135701,-0.01272357723577236,0.07151119400795128,0.9306786774490734
3,gbm_transf,0.005048318636189248,23,0.006759909306656069,-0.00409669605800606,0,adult,0.8616030299928344,0.5300526575642035,-0.10080050778740597,0.5300526575642035,0.055673039694610064,0.11789042619525103,0.18756421137267168,0.07672860627053477,0.9318456341488381
4,lr_orig,0.35638505365710943,6,-0.5471673022648177,0.26217774965484575,1,adult,0.8520831200737026,0.29166010409497284,-0.18658762278617363,0.29166010409497284,-0.09053757086155748,-0.10753748237527871,0.024598412371519995,0.07990232225240083,0.9379260927423484
5,lr_transf,0.047660031106611773,29,0.009582172364486845,-0.002002882630124064,0,adult,0.8453270549698024,0.5454960253525136,-0.09859977679632825,0.5454960253525136,0.0578867897534972,0.13210816944449133,0.1751122573599135,0.0856826442950636,0.9408537209540384
